"GEOID","NAME","total_popE","whiteE","blackE","asianE","hispanicE","year"
"1723620","Elmhurst city, Illinois",45469,38272,536,2680,3407,2015
"1707744","Bradley village, Illinois",15763,12912,1044,199,1499,2015
"1768003","Schaumburg village, Illinois",74559,45724,2757,16781,7613,2015
"1781919","Willowbrook village, Illinois",8629,5863,452,1566,573,2015
"1738934","Kankakee city, Illinois",26821,10813,10238,201,5027,2015
"1749893","Momence city, Illinois",2845,2177,303,0,317,2015
"1776771","Union Hill village, Illinois",85,85,0,0,0,2015
"1723555","Ellsworth village, Illinois",259,254,0,0,0,2015
"1716054","Concord village, Illinois",186,186,0,0,0,2015
"1770889","South Jacksonville village, Illinois",3299,3172,0,0,25,2015
"1731017","Granville village, Illinois",1380,1292,0,0,26,2015
"1756887","Oswego village, Illinois",32468,23791,2336,1613,3731,2015
"1727091","Forsyth village, Illinois",3493,3010,145,193,85,2015
"1744498","Long Creek village, Illinois",1528,1451,0,7,25,2015
"1751206","Mount Zion village, Illinois",6118,5279,297,13,218,2015
"1740143","Kinsman village, Illinois",118,104,0,0,14,2015
"1717887","Crystal Lake city, Illinois",40635,33547,699,1221,4551,2015
"1741651","Lakewood village, Illinois",4258,4069,60,19,40,2015
"1726077","Fillmore village, Illinois",262,257,0,5,0,2015
"1762965","Raymond village, Illinois",781,767,0,12,0,2015
"1717991","Cuba city, Illinois",1561,1487,10,0,25,2015
"1770226","Smithfield village, Illinois",187,183,0,0,2,2015
"1742457","Leaf River village, Illinois",585,531,2,0,7,2015
"1751700","Nashville city, Illinois",3265,3198,9,36,22,2015
"1718342","Dakota village, Illinois",511,481,5,0,12,2015
"1764590","Roanoke village, Illinois",2189,2106,0,12,63,2015
"1768510","Secor village, Illinois",355,335,0,0,16,2015
"1759156","Perry village, Illinois",329,312,0,0,6,2015
"1760534","Pleasant Hill village, Illinois",1110,978,0,0,31,2015
"1755418","Ohlman village, Illinois",110,106,1,0,0,2015
"1758369","Pearl City village, Illinois",884,829,0,0,51,2015
"1759026","Peoria Heights village, Illinois",6046,5207,379,9,71,2015
"1771604","Spring Bay village, Illinois",502,472,5,5,6,2015
"1715469","Coleta village, Illinois",212,204,0,0,5,2015
"1724374","Erie village, Illinois",1507,1417,8,0,63,2015
"1744602","Longview village, Illinois",146,141,0,0,5,2015
"1775614","Tolono village, Illinois",3066,2803,32,13,204,2015
"1777005","Urbana city, Illinois",41988,23656,6905,7804,2227,2015
"1720305","Dongola village, Illinois",913,902,0,0,11,2015
"1738635","Jonesboro city, Illinois",2059,1972,35,20,14,2015
"1749178","Mill Creek village, Illinois",36,36,0,0,0,2015
"1714715","Clay City village, Illinois",898,897,0,0,0,2015
"1706028","Bingham village, Illinois",45,42,0,0,0,2015
"1700971","Alpha village, Illinois",558,529,0,0,22,2015
"1702726","Atkinson town, Illinois",1006,975,0,0,18,2015
"1710643","Cambridge village, Illinois",2126,1989,64,29,44,2015
"1783063","Woodhull village, Illinois",945,904,3,0,36,2015
"1703844","Barrington village, Illinois",10576,9500,28,474,531,2015
"1746136","Mahomet village, Illinois",7762,7234,9,67,249,2015
"1766534","Sadorus village, Illinois",394,388,2,0,2,2015
"1709980","Burr Ridge village, Illinois",10753,8377,270,1450,568,2015
"1763862","Ridge Farm village, Illinois",838,829,0,0,3,2015
"1775276","Tilton village, Illinois",2669,2371,0,0,262,2015
"1739909","Kincaid village, Illinois",1653,1483,0,0,110,2015
"1700568","Albion city, Illinois",2154,2018,23,15,45,2015
"1704806","Belle Rive village, Illinois",301,301,0,0,0,2015
"1751947","Nelson village, Illinois",153,150,0,0,2,2015
"1780008","West Brooklyn village, Illinois",124,112,0,0,12,2015
"1737127","Illiopolis village, Illinois",943,909,0,0,8,2015
"1770759","Southern View village, Illinois",2010,1861,70,28,13,2015
"1772000","Springfield city, Illinois",117061,84772,22619,2848,3046,2015
"1778149","Virden city, Illinois",3539,3519,8,0,8,2015
"1741859","Lanark city, Illinois",1625,1520,13,13,43,2015
"1749191","Milledgeville village, Illinois",1061,1034,1,0,1,2015
"1739532","Kenney village, Illinois",330,328,0,0,0,2015
"1777707","Verona village, Illinois",240,167,0,0,73,2015
"1712567","Charleston city, Illinois",21552,18413,1428,495,734,2015
"1714286","Christopher city, Illinois",2876,2820,26,0,16,2015
"1748333","Mendota city, Illinois",7321,4858,162,95,2057,2015
"1768640","Seneca village, Illinois",2521,2430,0,12,64,2015
"1774743","Teutopolis village, Illinois",1793,1779,0,0,2,2015
"1745993","Madison city, Illinois",4063,1405,2300,44,207,2015
"1746955","Marissa village, Illinois",2011,1991,9,0,0,2015
"1713139","Chester city, Illinois",8592,5973,2143,20,385,2015
"1735268","Hinckley village, Illinois",2035,1842,21,12,129,2015
"1707419","Boulder Hill CDP, Illinois",8584,6094,269,219,1915,2015
"1752961","Niantic village, Illinois",628,586,0,0,0,2015
"1724608","Evansville village, Illinois",671,644,0,1,23,2015
"1766287","Ruma village, Illinois",293,285,1,0,0,2015
"1774457","Tamms village, Illinois",827,413,344,0,20,2015
"1736074","Hooppole village, Illinois",337,336,0,0,0,2015
"1739727","Kewanee city, Illinois",12736,9968,643,152,1710,2015
"1701595","Antioch village, Illinois",14386,11982,308,462,1412,2015
"1702154","Arlington Heights village, Illinois",75802,62954,971,6567,4246,2015
"1712489","Channel Lake CDP, Illinois",1505,1297,0,0,94,2015
"1719083","Deer Park village, Illinois",3323,2969,22,189,124,2015
"1744550","Long Lake CDP, Illinois",3715,2573,0,42,1089,2015
"1770213","Smithboro village, Illinois",169,167,0,2,0,2015
"1710906","Campton Hills village, Illinois",11012,10244,103,117,405,2015
"1760391","Plattville village, Illinois",274,255,0,0,17,2015
"1767372","Sammons Point village, Illinois",379,354,0,0,15,2015
"1743510","Limestone village, Illinois",1435,1383,0,6,23,2015
"1738895","Kaneville village, Illinois",432,381,0,26,20,2015
"1715833","Columbia city, Illinois",10029,9442,92,86,339,2015
"1709889","Burnt Prairie village, Illinois",66,66,0,0,0,2015
"1752220","New Boston city, Illinois",698,659,0,0,37,2015
"1768458","Seaton village, Illinois",236,233,0,0,3,2015
"1731771","Griggsville city, Illinois",1161,1111,5,0,40,2015
"1752805","New Salem village, Illinois",129,126,0,0,0,2015
"1782322","Windsor city, Illinois",1445,1393,0,0,47,2015
"1712476","Channahon village, Illinois",12845,11491,9,62,1007,2015
"1700516","Albany village, Illinois",1039,998,0,11,18,2015
"1716873","Countryside city, Illinois",5984,4481,225,108,1138,2015
"1711527","Carthage city, Illinois",2580,2468,14,21,75,2015
"1740832","La Harpe city, Illinois",1414,1381,0,0,3,2015
"1751791","Nauvoo city, Illinois",1362,1294,32,5,22,2015
"1761080","Pontoosuc village, Illinois",94,91,0,0,0,2015
"1768991","Shannon village, Illinois",625,612,0,3,7,2015
"1778773","Wapella village, Illinois",565,551,0,0,1,2015
"1747787","Mazon village, Illinois",1024,918,0,11,68,2015
"1736477","Huey village, Illinois",199,199,0,0,0,2015
"1751661","Naples town, Illinois",48,40,0,0,0,2015
"1704507","Beaverville village, Illinois",285,276,1,2,6,2015
"1752623","Newman city, Illinois",916,885,17,1,9,2015
"1745642","Macedonia village, Illinois",59,59,0,0,0,2015
"1730458","Good Hope village, Illinois",387,358,0,0,23,2015
"1721618","East Carondelet village, Illinois",587,515,60,0,0,2015
"1724933","Fairmont City village, Illinois",2498,450,49,0,1994,2015
"1747423","Mascoutah city, Illinois",7801,6926,367,44,107,2015
"1704156","Bath village, Illinois",267,263,0,4,0,2015
"1767613","San Jose village, Illinois",601,554,15,0,2,2015
"1704039","Bartonville village, Illinois",6438,6233,26,0,144,2015
"1704871","Bellevue village, Illinois",1566,1375,76,55,22,2015
"1746643","Mapleton village, Illinois",329,325,0,0,4,2015
"1751284","Mulberry Grove village, Illinois",662,630,16,0,0,2015
"1729496","Glasgow village, Illinois",126,123,0,0,0,2015
"1704000","Bartelso village, Illinois",608,600,0,0,2,2015
"1735398","Hoffman village, Illinois",474,455,0,0,0,2015
"1775991","Trenton city, Illinois",2698,2545,13,43,67,2015
"1723425","Elliott village, Illinois",239,231,0,0,6,2015
"1748268","Melvin village, Illinois",509,468,9,3,23,2015
"1726896","Forest Lake CDP, Illinois",1719,1618,0,75,13,2015
"1715300","Cobden village, Illinois",1425,830,125,0,417,2015
"1710383","Cairo city, Illinois",2758,755,1880,11,13,2015
"1728430","Galva city, Illinois",2543,2462,5,0,57,2015
"1701114","Alton city, Illinois",27335,18573,6654,126,645,2015
"1731121","Grayslake village, Illinois",21117,15583,752,1594,2538,2015
"1734722","Highland Park city, Illinois",29789,25808,613,765,2173,2015
"1737218","Indian Creek village, Illinois",569,381,17,145,19,2015
"1739883","Kildeer village, Illinois",3938,3152,55,428,239,2015
"1722697","Edwardsville city, Illinois",24896,20478,2567,656,660,2015
"1755639","Old Mill Creek village, Illinois",152,113,0,29,7,2015
"1775965","Tremont village, Illinois",2170,2122,0,9,25,2015
"1751154","Mount Sterling city, Illinois",2080,1935,62,44,0,2015
"1719642","Des Plaines city, Illinois",58930,37781,919,8433,10818,2015
"1726987","Forest View village, Illinois",703,397,0,7,297,2015
"1733695","Hazel Crest village, Illinois",14195,1022,12185,39,816,2015
"1777720","Versailles village, Illinois",489,441,0,28,12,2015
"1764707","Robinson city, Illinois",7506,6122,625,77,373,2015
"1745811","McLean village, Illinois",821,811,0,4,3,2015
"1767912","Saybrook village, Illinois",785,755,7,0,18,2015
"1738115","Jacksonville city, Illinois",19241,15848,2061,126,716,2015
"1704013","Bartlett village, Illinois",41552,29336,714,6255,4401,2015
"1723074","Elgin city, Illinois",112105,46240,7031,6995,49917,2015
"1742795","Lemont village, Illinois",16513,14726,94,230,1271,2015
"1736568","Hume village, Illinois",366,357,1,0,0,2015
