"GEOID","NAME","median_incomeE","year"
"1723620","Elmhurst city, Illinois",96486,2015
"1707744","Bradley village, Illinois",58901,2015
"1768003","Schaumburg village, Illinois",74086,2015
"1781919","Willowbrook village, Illinois",66163,2015
"1738934","Kankakee city, Illinois",32402,2015
"1749893","Momence city, Illinois",60441,2015
"1776771","Union Hill village, Illinois",111875,2015
"1723555","Ellsworth village, Illinois",68571,2015
"1716054","Concord village, Illinois",47039,2015
"1770889","South Jacksonville village, Illinois",55602,2015
"1731017","Granville village, Illinois",46172,2015
"1756887","Oswego village, Illinois",96825,2015
"1727091","Forsyth village, Illinois",83534,2015
"1744498","Long Creek village, Illinois",81029,2015
"1751206","Mount Zion village, Illinois",70000,2015
"1740143","Kinsman village, Illinois",39583,2015
"1717887","Crystal Lake city, Illinois",81509,2015
"1741651","Lakewood village, Illinois",119982,2015
"1726077","Fillmore village, Illinois",36250,2015
"1762965","Raymond village, Illinois",43194,2015
"1717991","Cuba city, Illinois",37857,2015
"1770226","Smithfield village, Illinois",39375,2015
"1742457","Leaf River village, Illinois",31458,2015
"1751700","Nashville city, Illinois",45806,2015
"1718342","Dakota village, Illinois",42500,2015
"1764590","Roanoke village, Illinois",54122,2015
"1768510","Secor village, Illinois",48906,2015
"1759156","Perry village, Illinois",28542,2015
"1760534","Pleasant Hill village, Illinois",40625,2015
"1755418","Ohlman village, Illinois",43750,2015
"1758369","Pearl City village, Illinois",50250,2015
"1759026","Peoria Heights village, Illinois",47188,2015
"1771604","Spring Bay village, Illinois",47500,2015
"1715469","Coleta village, Illinois",36705,2015
"1724374","Erie village, Illinois",61481,2015
"1744602","Longview village, Illinois",43125,2015
"1775614","Tolono village, Illinois",66635,2015
"1777005","Urbana city, Illinois",32105,2015
"1720305","Dongola village, Illinois",37917,2015
"1738635","Jonesboro city, Illinois",43958,2015
"1749178","Mill Creek village, Illinois",90000,2015
"1714715","Clay City village, Illinois",36364,2015
"1706028","Bingham village, Illinois",22500,2015
"1700971","Alpha village, Illinois",42500,2015
"1702726","Atkinson town, Illinois",42143,2015
"1710643","Cambridge village, Illinois",54821,2015
"1783063","Woodhull village, Illinois",57188,2015
"1703844","Barrington village, Illinois",116062,2015
"1746136","Mahomet village, Illinois",90304,2015
"1766534","Sadorus village, Illinois",58750,2015
"1709980","Burr Ridge village, Illinois",115260,2015
"1763862","Ridge Farm village, Illinois",44844,2015
"1775276","Tilton village, Illinois",42361,2015
"1739909","Kincaid village, Illinois",37316,2015
"1700568","Albion city, Illinois",36250,2015
"1704806","Belle Rive village, Illinois",41750,2015
"1751947","Nelson village, Illinois",40000,2015
"1780008","West Brooklyn village, Illinois",57813,2015
"1737127","Illiopolis village, Illinois",50000,2015
"1770759","Southern View village, Illinois",43750,2015
"1772000","Springfield city, Illinois",49868,2015
"1778149","Virden city, Illinois",43617,2015
"1741859","Lanark city, Illinois",50679,2015
"1749191","Milledgeville village, Illinois",51667,2015
"1739532","Kenney village, Illinois",51563,2015
"1777707","Verona village, Illinois",62188,2015
"1712567","Charleston city, Illinois",28473,2015
"1714286","Christopher city, Illinois",34875,2015
"1748333","Mendota city, Illinois",43406,2015
"1768640","Seneca village, Illinois",61458,2015
"1774743","Teutopolis village, Illinois",68750,2015
"1745993","Madison city, Illinois",22266,2015
"1746955","Marissa village, Illinois",40714,2015
"1713139","Chester city, Illinois",41764,2015
"1735268","Hinckley village, Illinois",67045,2015
"1707419","Boulder Hill CDP, Illinois",62281,2015
"1752961","Niantic village, Illinois",54545,2015
"1724608","Evansville village, Illinois",44853,2015
"1766287","Ruma village, Illinois",46750,2015
"1774457","Tamms village, Illinois",23333,2015
"1736074","Hooppole village, Illinois",34615,2015
"1739727","Kewanee city, Illinois",38107,2015
"1701595","Antioch village, Illinois",76012,2015
"1702154","Arlington Heights village, Illinois",81059,2015
"1712489","Channel Lake CDP, Illinois",64200,2015
"1719083","Deer Park village, Illinois",155952,2015
"1744550","Long Lake CDP, Illinois",52353,2015
"1770213","Smithboro village, Illinois",45208,2015
"1710906","Campton Hills village, Illinois",118664,2015
"1760391","Plattville village, Illinois",95156,2015
"1767372","Sammons Point village, Illinois",56667,2015
"1743510","Limestone village, Illinois",75400,2015
"1738895","Kaneville village, Illinois",64792,2015
"1715833","Columbia city, Illinois",62708,2015
"1709889","Burnt Prairie village, Illinois",67750,2015
"1752220","New Boston city, Illinois",40952,2015
"1768458","Seaton village, Illinois",41250,2015
"1731771","Griggsville city, Illinois",38409,2015
"1752805","New Salem village, Illinois",28125,2015
"1782322","Windsor city, Illinois",38403,2015
"1712476","Channahon village, Illinois",88818,2015
"1700516","Albany village, Illinois",43750,2015
"1716873","Countryside city, Illinois",56659,2015
"1711527","Carthage city, Illinois",47827,2015
"1740832","La Harpe city, Illinois",36154,2015
"1751791","Nauvoo city, Illinois",46406,2015
"1761080","Pontoosuc village, Illinois",42969,2015
"1768991","Shannon village, Illinois",40938,2015
"1778773","Wapella village, Illinois",47500,2015
"1747787","Mazon village, Illinois",62143,2015
"1736477","Huey village, Illinois",40625,2015
"1751661","Naples town, Illinois",41250,2015
"1704507","Beaverville village, Illinois",31528,2015
"1752623","Newman city, Illinois",42344,2015
"1745642","Macedonia village, Illinois",38333,2015
"1730458","Good Hope village, Illinois",51964,2015
"1721618","East Carondelet village, Illinois",39688,2015
"1724933","Fairmont City village, Illinois",33365,2015
"1747423","Mascoutah city, Illinois",70366,2015
"1704156","Bath village, Illinois",33750,2015
"1767613","San Jose village, Illinois",52500,2015
"1704039","Bartonville village, Illinois",49545,2015
"1704871","Bellevue village, Illinois",51591,2015
"1746643","Mapleton village, Illinois",54583,2015
"1751284","Mulberry Grove village, Illinois",41250,2015
"1729496","Glasgow village, Illinois",51250,2015
"1704000","Bartelso village, Illinois",82083,2015
"1735398","Hoffman village, Illinois",51375,2015
"1775991","Trenton city, Illinois",63621,2015
"1723425","Elliott village, Illinois",52656,2015
"1748268","Melvin village, Illinois",43462,2015
"1726896","Forest Lake CDP, Illinois",94375,2015
"1715300","Cobden village, Illinois",36080,2015
"1710383","Cairo city, Illinois",21705,2015
"1728430","Galva city, Illinois",40896,2015
"1701114","Alton city, Illinois",36250,2015
"1731121","Grayslake village, Illinois",81367,2015
"1734722","Highland Park city, Illinois",122829,2015
"1737218","Indian Creek village, Illinois",140313,2015
"1739883","Kildeer village, Illinois",154563,2015
"1722697","Edwardsville city, Illinois",71057,2015
"1755639","Old Mill Creek village, Illinois",101250,2015
"1775965","Tremont village, Illinois",52647,2015
"1751154","Mount Sterling city, Illinois",40517,2015
"1719642","Des Plaines city, Illinois",65109,2015
"1726987","Forest View village, Illinois",52500,2015
"1733695","Hazel Crest village, Illinois",52134,2015
"1777720","Versailles village, Illinois",52847,2015
"1764707","Robinson city, Illinois",43563,2015
"1745811","McLean village, Illinois",64531,2015
"1767912","Saybrook village, Illinois",54688,2015
"1738115","Jacksonville city, Illinois",39458,2015
"1704013","Bartlett village, Illinois",100105,2015
"1723074","Elgin city, Illinois",60499,2015
"1742795","Lemont village, Illinois",86043,2015
"1736568","Hume village, Illinois",38393,2015
"1738986","Kansas village, Illinois",32313,2015
"1757628","Paris city, Illinois",37280,2015
"1709538","Bulpitt village, Illinois",37321,2015
"1775809","Tovey village, Illinois",38452,2015
"1702986","Augusta village, Illinois",37946,2015
"1710422","Caledonia village, Illinois",67917,2015
"1779163","Waterman village, Illinois",66172,2015
"1778942","Warsaw city, Illinois",46827,2015
"1775360","Timberlane village, Illinois",120625,2015
"1742938","Lerna village, Illinois",47917,2015
"1730757","Grand Ridge village, Illinois",55833,2015
"1766443","Rutland village, Illinois",40313,2015
"1770460","Somonauk village, Illinois",56799,2015
"1775718","Tonica village, Illinois",49327,2015
"1739324","Kell village, Illinois",44583,2015
"1755210","Odin village, Illinois",41618,2015
"1702414","Arthur village, Illinois",54239,2015
"1745044","Lovington village, Illinois",48000,2015
"1722255","East St. Louis city, Illinois",19520,2015
"1767756","Sauget village, Illinois",47969,2015
"1728612","Garden Prairie CDP, Illinois",NA,2015
"1730159","Golden village, Illinois",44000,2015
"1766157","Royal village, Illinois",66667,2015
"1707237","Bonfield village, Illinois",69432,2015
"1714000","Chicago city, Illinois",48522,2015
"1764343","River Grove village, Illinois",46514,2015
"1732746","Hanover Park village, Illinois",67650,2015
"1757875","Park Ridge city, Illinois",90484,2015
"1761314","Posen village, Illinois",47310,2015
"1702505","Ashland village, Illinois",58500,2015
"1728742","Garrett village, Illinois",40313,2015
"1776407","Tuscola city, Illinois",49734,2015
"1718303","Dahlgren village, Illinois",31346,2015
"1730575","Goreville village, Illinois",43750,2015
"1751986","Neoga city, Illinois",31141,2015
"1777642","Vermont village, Illinois",47000,2015
"1734553","Hidalgo village, Illinois",56071,2015
"1752844","Newton city, Illinois",40417,2015
"1782010","Willow Hill village, Illinois",30865,2015
"1766833","St. Francisville city, Illinois",32045,2015
"1734163","Henry city, Illinois",48984,2015
"1704078","Batavia city, Illinois",92684,2015
"1728872","Geneva city, Illinois",97926,2015
"1711592","Cary village, Illinois",96130,2015
"1752467","New Grand Chain village, Illinois",46250,2015
"1734449","Heyworth village, Illinois",72727,2015
"1723529","Ellisville village, Illinois",36000,2015
"1780762","West Point village, Illinois",41696,2015
"1705443","Berlin village, Illinois",34063,2015
"1752168","New Berlin village, Illinois",67692,2015
"1749308","Millington village, Illinois",63958,2015
"1709577","Bunker Hill city, Illinois",45826,2015
"1762016","Prospect Heights city, Illinois",61442,2015
"1709551","Buncombe village, Illinois",36875,2015
"1774665","Tennessee village, Illinois",48906,2015
"1748307","Mendon village, Illinois",51136,2015
"1767860","Savoy village, Illinois",66583,2015
"1746331","Manchester village, Illinois",51000,2015
"1743939","Lisle village, Illinois",75373,2015
"1761899","Princeton city, Illinois",44722,2015
"1773391","Sugar Grove village, Illinois",108609,2015
"1704793","Belle Prairie City town, Illinois",60833,2015
"1724764","Fairbury city, Illinois",41958,2015
"1740091","Kingston Mines village, Illinois",43036,2015
"1769212","Sheldon village, Illinois",36827,2015
"1737998","Ivesdale village, Illinois",47292,2015
"1783622","Wyanet village, Illinois",40917,2015
"1714923","Cleveland village, Illinois",46875,2015
"1782985","Wood Dale city, Illinois",62964,2015
"1778175","Virgil village, Illinois",95750,2015
"1745785","Mackinaw village, Illinois",57188,2015
"1750621","Morton village, Illinois",72855,2015
"1703883","Barrington Hills village, Illinois",128529,2015
"1780125","West Dundee village, Illinois",79250,2015
"1733331","Harvard city, Illinois",45689,2015
"1736750","Huntley village, Illinois",71394,2015
"1741183","Lake in the Hills village, Illinois",84300,2015
